specie,img,id,x,y,area,area_ch,perimeter,radius_mean,radius_min,radius_max,radius_sd,diam_mean,diam_min,diam_max,major_axis,minor_axis,caliper,length,width,radius_ratio,theta,eccentricity,form_factor,narrow_factor,asp_ratio,rectangularity,pd_ratio,plw_ratio,solidity,convexity,elongation,circularity,circularity_haralick,circularity_norm,coverage,pcv
E1,1032,5,954.5083,604.44345,327009,337784,3737.14581,460.80933,119.65673,877.9277,225.33341,921.61866,239.31346,1755.8554,501.94736,105.60494,1614.46028,1678.67726,296.3915,7.33705,0.58065,0.97762,0.29423,0.96175,5.66372,1.5215,2.3148,1.89216,0.9681,0.93445,0.82344,42.7091,2.04501,0.29287,0.17032,1.25591
E1,1033,5,904.08192,626.34045,340639,359921,3889.21897,481.35516,131.5958,908.57945,233.01646,962.71032,263.1916,1817.15889,524.29933,105.31921,1666.77953,1765.42783,297.50938,6.90432,0.61133,0.97962,0.283,0.94412,5.93402,1.5419,2.33337,1.88528,0.94643,0.91351,0.83148,44.40485,2.06576,0.28171,0.17742,1.38448
E1,1034,5,866.65172,670.74698,315760,330124.5,3962.44437,487.41184,104.08001,929.67975,247.99009,974.82367,208.16003,1859.3595,539.01145,92.28503,1775.00704,1817.16551,246.36771,8.93236,0.63369,0.98523,0.25272,0.9768,7.37583,1.41782,2.23235,1.92022,0.95649,0.89525,0.86442,49.72436,1.96545,0.25146,0.16446,1.39052
E1,1035,4,887.63309,668.54201,291684,299615,3550.54278,442.97907,112.49561,840.33587,215.06082,885.95814,224.99121,1680.67174,482.489,98.33383,1536.47519,1609.74784,281.2253,7.46994,0.66178,0.97901,0.29076,0.95448,5.72405,1.55203,2.31084,1.87763,0.97353,0.92149,0.8253,43.21922,2.05979,0.28936,0.15192,1.35458
E1,1036,8,945.65146,682.78502,322146,332323.5,3900.18239,477.13168,115.65193,908.43999,239.47339,954.26337,231.30386,1816.87997,524.52846,99.26634,1715.4154,1768.32459,282.68378,7.85495,0.59775,0.98193,0.26613,0.97008,6.25549,1.55171,2.27361,1.90159,0.96937,0.91228,0.84014,47.21903,1.99242,0.26483,0.16778,1.20601
E1,1037,5,934.79288,654.46722,308467,326571,3949.88088,483.70699,103.16152,922.23758,245.84999,967.41397,206.32304,1844.47516,534.49304,93.34283,1657.00573,1791.92627,277.93328,8.93974,0.59775,0.98463,0.24846,0.92471,6.44733,1.61455,2.38375,1.90828,0.94456,0.81354,0.8449,50.57772,1.96749,0.24717,0.16066,1.33378
E1,1038,5,935.78448,674.14852,353617,365567,3961.31948,486.27013,127.25673,927.30868,241.41126,972.54027,254.51345,1854.61735,532.18491,107.23284,1730.98931,1783.35947,292.11142,7.28691,0.62122,0.97949,0.28318,0.97063,6.10507,1.47317,2.28847,1.90864,0.96731,0.93213,0.8362,44.37584,2.01428,0.28191,0.18418,1.21474
E1,1039,10,857.31012,621.5222,223354,238798,3833.36111,459.82921,83.42105,900.48093,245.12068,919.65842,166.84211,1800.96186,516.56182,68.34583,1716.99505,1773.59351,182.29864,10.79441,0.60161,0.99121,0.191,0.96809,9.72906,1.44758,2.2326,1.9599,0.93533,0.87504,0.89722,65.79089,1.87593,0.18971,0.11633,1.46208
E1,1040,2,854.37496,587.14359,214354,227337,3852.31443,464.20672,71.54523,900.30524,249.33175,928.41345,143.09045,1800.61048,523.10203,63.22957,1692.23078,1787.57818,174.00803,12.58372,0.62347,0.99267,0.18151,0.94666,10.27296,1.45112,2.27647,1.96388,0.94289,0.84965,0.90266,69.23279,1.8618,0.18022,0.11164,1.49558
E1,1041,10,917.90825,637.55885,285472,297064.5,3890.34891,470.43038,99.92044,899.6554,241.74824,940.86076,199.84088,1799.31081,521.8252,86.17772,1684.59758,1762.47988,235.00891,9.00372,0.61644,0.98627,0.23703,0.95581,7.49963,1.45093,2.30936,1.94762,0.96098,0.91476,0.86666,53.01681,1.94595,0.23574,0.14868,1.42805
E1,1042,5,900.97682,651.76439,276955,292360.5,3785.41998,464.07621,99.60108,893.00484,236.52355,928.15242,199.20216,1786.00969,513.71891,85.93225,1712.5665,1737.27551,231.55856,8.96582,0.6167,0.98591,0.24288,0.98578,7.50253,1.45251,2.21038,1.92267,0.94731,0.92419,0.86671,51.73911,1.96207,0.24156,0.14425,1.40989
E1,1043,13,907.15992,612.55451,231186,236076,3783.95909,461.03631,78.3091,889.50534,244.80776,922.07262,156.6182,1779.01068,517.39475,69.04963,1741.87256,1760.79496,179.1256,11.3589,0.62148,0.99105,0.2029,0.98925,9.82995,1.36428,2.17235,1.95057,0.97929,0.88433,0.89827,61.93431,1.88326,0.20159,0.12041,1.2302
E1,1044,5,880.42334,640.52609,233413,238946,3969.51039,479.28189,77.94511,930.60049,256.71313,958.56378,155.89023,1861.20098,539.45724,67.65782,1729.90549,1839.96634,178.77081,11.93918,0.62063,0.9921,0.18615,0.94018,10.29232,1.40923,2.29464,1.96633,0.97684,0.85184,0.90284,67.50701,1.86699,0.1849,0.12157,1.24245
E1,1045,3,933.83815,660.87457,385481,401717,3920.99358,487.08561,136.28262,910.63525,231.25743,974.17122,272.56523,1821.27051,526.07158,118.16973,1718.19673,1755.69047,331.39435,6.68196,0.63663,0.97444,0.31508,0.97864,5.29789,1.50935,2.28204,1.87869,0.95958,0.93357,0.81125,39.88313,2.10625,0.31379,0.20077,1.40359
E1,1046,6,933.37139,654.2603,395122,416229,3960.43008,484.53007,148.69444,910.39099,227.38504,969.06014,297.38888,1820.78198,520.71475,123.7477,1642.55441,1757.57069,351.54426,6.12256,0.58761,0.97135,0.31656,0.93456,4.99957,1.56373,2.41114,1.87777,0.94929,0.91522,0.79998,39.69662,2.13088,0.31526,0.20579,1.37792
E1,1047,4,902.67978,665.1572,384807,391979,4103.93679,513.77506,136.28283,961.31801,250.8366,1027.55012,272.56566,1922.63602,561.2526,108.90353,1831.49911,1878.6183,282.62256,7.05385,0.63783,0.98099,0.28711,0.97492,6.64709,1.37976,2.24075,1.89888,0.9817,0.84127,0.84956,43.76817,2.04825,0.2859,0.20042,1.08624
E1,1048,1,858.91494,528.61581,240001,242475,3657.05245,446.27965,88.97025,857.65382,232.77013,892.5593,177.94049,1715.30764,497.83915,74.06019,1659.56922,1691.62082,189.18816,9.63978,-0.60423,0.98887,0.22551,0.98105,8.94147,1.33347,2.20362,1.9444,0.9898,0.9093,0.88816,55.7249,1.91725,0.22415,0.125,1.21592
E1,1049,1,924.92599,507.8044,358943,381538.5,3758.47676,478.02213,139.06699,855.12709,223.90835,956.04426,278.13398,1710.25417,515.42561,113.84251,1640.87934,1691.61437,303.67333,6.14903,-0.60579,0.9753,0.31931,0.97001,5.57051,1.43114,2.29053,1.88368,0.94078,0.93436,0.82048,39.35485,2.1349,0.31795,0.18695,1.14842
E1,1050,10,900.12933,634.59106,370036,372057.5,3937.6992,495.87745,134.92952,924.63244,242.5146,991.75491,269.85903,1849.26488,541.56508,106.75278,1781.40647,1812.98425,275.43098,6.85271,0.63513,0.98038,0.29989,0.98258,6.58235,1.34947,2.21044,1.8855,0.99457,0.94516,0.84808,41.90261,2.04473,0.29863,0.19273,1.04043
E1,1051,5,902.2657,642.17254,337184,340032.5,3788.79762,472.24046,124.88331,884.72686,231.55566,944.48092,249.76662,1769.45371,515.9589,101.96978,1732.2393,1733.97734,259.75271,7.08443,0.59627,0.98028,0.29517,0.999,6.67549,1.33578,2.18723,1.90036,0.99162,0.89504,0.8502,42.57316,2.03943,0.29384,0.17562,1.10809
E1,1052,1,688.19552,509.78553,335165,339570,3916.97633,484.44504,122.7121,913.53007,241.68141,968.89009,245.4242,1827.06014,532.26462,98.85642,1724.01392,1794.49623,253.94877,7.4445,0.60796,0.9826,0.27452,0.96072,7.06637,1.35966,2.27201,1.91217,0.98703,0.90882,0.85848,45.77657,2.00448,0.27323,0.17457,1.26476
E1,1053,2,928.92643,585.96636,375689,387249.5,3877.44733,485.80857,141.90859,892.41474,231.05787,971.61713,283.81717,1784.82947,525.40437,115.46033,1748.60659,1750.55126,307.39255,6.28866,0.57138,0.97556,0.31401,0.99889,5.69484,1.43232,2.21745,1.88414,0.97015,0.92768,0.8244,40.01873,2.10254,0.31269,0.19567,1.09561
E1,1054,4,628.52638,647.04925,461976,466675,3861.65548,493.64968,175.93301,892.61861,217.18075,987.29935,351.86602,1785.23721,520.27372,141.97747,1696.65111,1721.66214,384.0086,5.07363,-0.61874,0.96205,0.3893,0.98547,4.48339,1.4311,2.27605,1.83393,0.98993,0.92383,0.77695,32.27956,2.27299,0.38798,0.24061,1.15948
E1,1055,1,858.16561,518.23692,258112,261794.5,3823.59661,464.36177,82.64066,892.94392,244.3314,928.72353,165.28132,1785.88783,519.10679,76.40917,1762.71637,1765.30877,191.62392,10.80514,-0.57562,0.98911,0.22186,0.99853,9.21236,1.31058,2.16915,1.95387,0.98593,0.90399,0.89145,56.64166,1.90054,0.22054,0.13443,1.143
E1,1056,14,984.39626,682.36045,412107,421289.5,3798.80267,479.95376,157.59181,884.41375,217.27129,959.90753,315.18361,1768.82751,509.81964,132.78185,1583.86142,1683.67062,376.73178,5.61205,0.60019,0.96549,0.35886,0.94072,4.46915,1.53914,2.39844,1.84372,0.9782,0.93367,0.77624,35.01737,2.20901,0.35752,0.21464,1.1661
E1,1057,1,616.6311,458.20758,420291,429401.5,3985.21183,499.68653,154.74303,915.86884,232.92926,999.37305,309.48605,1831.73769,535.92243,129.27889,1663.27689,1770.03371,370.47314,5.91864,0.57597,0.97047,0.33255,0.93969,4.77777,1.56023,2.396,1.86181,0.97878,0.90817,0.7907,37.7879,2.14523,0.33127,0.2189,0.97333
E1,1058,1,673.72677,529.03524,445661,452437,3821.97424,488.67486,175.04955,884.23205,214.3872,977.34971,350.0991,1768.4641,515.44167,138.09435,1655.96407,1712.42297,371.19701,5.05132,0.60672,0.96344,0.38339,0.96703,4.61325,1.4263,2.30801,1.8343,0.98502,0.9132,0.78323,32.77713,2.2794,0.38205,0.23212,1.11077
E1,1059,1,928.42549,610.97979,389649,409309,3709.62395,464.29501,159.75792,857.75858,208.22675,928.59002,319.51584,1715.51716,491.41237,132.0144,1621.51935,1641.40992,374.43681,5.36911,0.55141,0.96324,0.35581,0.98788,4.38368,1.57733,2.28775,1.84023,0.95197,0.93396,0.77188,35.3172,2.22976,0.35443,0.20294,1.28598
E10,1438,1,846.0044,520.83584,388732,414897.5,3508.28167,359.06235,201.48419,567.68587,95.76861,718.12471,402.96838,1135.37174,318.56463,191.33978,1103.56015,1103.39038,543.84403,2.81752,-0.1442,0.79953,0.39689,1.00015,2.02887,1.54367,3.17906,2.1298,0.93694,0.71161,0.50712,31.66202,3.74927,0.39536,0.20246,12.64898
E10,1439,1,905.02366,531.98306,583556,625867.5,4684.06046,440.52583,264.67949,693.00178,118.1713,881.05166,529.35898,1386.00356,390.51001,235.63944,1333.60564,1341.49207,699.45467,2.61827,-0.08956,0.79743,0.33423,0.99412,1.91791,1.60792,3.51233,2.29504,0.9324,0.67687,0.4786,37.5978,3.72786,0.33307,0.30394,15.27035
E10,1440,1,813.47688,519.99601,389515,419357.5,3455.84812,355.02793,208.28345,538.36483,79.90718,710.05585,416.56689,1076.72966,301.64128,203.56913,1010.57014,1016.64249,615.79917,2.58477,-0.06823,0.73794,0.40985,0.99403,1.65093,1.60725,3.4197,2.11698,0.92884,0.66495,0.39428,30.66091,4.443,0.40827,0.20287,13.07011
E10,1441,1,848.68465,523.40664,663585,697971.5,4466.23203,467.27402,289.29421,697.16257,118.74957,934.54804,578.58843,1394.32513,413.41197,248.05913,1373.10524,1372.8995,705.51578,2.40987,-0.03655,0.79998,0.41805,1.00015,1.94595,1.45965,3.25265,2.14886,0.95073,0.72478,0.48611,30.05979,3.93495,0.41684,0.34562,11.70166
E10,1442,1,851.91456,502.5627,507943,541056,4146.2127,409.8199,248.9499,636.74659,108.78754,819.6398,497.8998,1273.49318,363.13927,218.89181,1255.38281,1258.39992,630.62504,2.55773,0.01008,0.79791,0.3713,0.9976,1.99548,1.56234,3.30275,2.1949,0.9388,0.71066,0.49887,33.84451,3.76716,0.36999,0.26455,13.35638
E10,1443,1,888.47089,491.76824,637933,685602.5,4942.40065,451.34557,261.41228,696.97276,114.89664,902.69114,522.82457,1393.94552,391.14094,252.82344,1370.9504,1375.15282,748.02179,2.66618,0.08376,0.76302,0.32818,0.99694,1.83839,1.61246,3.60509,2.32784,0.93047,0.66417,0.45604,38.29136,3.92827,0.32709,0.33226,14.48558
E10,1444,1,886.62089,545.26207,426049,458105,3813.08066,383.07909,217.15251,623.01487,106.61401,766.15818,434.30503,1246.02974,345.51606,196.80278,1176.47354,1181.33847,567.40769,2.86902,-0.02617,0.82193,0.36823,0.99588,2.08199,1.57329,3.24111,2.18047,0.93002,0.68114,0.51969,34.12655,3.59314,0.3668,0.2219,12.78149
E10,1445,1,700.81715,480.76988,571053,617051.5,4639.07979,443.68967,218.08207,754.04073,143.33169,887.37935,436.16415,1508.08145,412.75627,216.86762,1444.99412,1468.57861,644.39395,3.4576,0.07663,0.85085,0.33344,0.98394,2.27901,1.65719,3.21045,2.19552,0.92545,0.59953,0.56121,37.68663,3.09554,0.33229,0.29742,12.2495
E10,1446,1,866.46315,521.12178,564771,604535,4500.84726,426.86055,226.88523,660.9156,113.85811,853.7211,453.77047,1321.8312,374.16681,234.88178,1299.24786,1293.20806,676.96672,2.913,-0.02169,0.77842,0.35034,1.00467,1.9103,1.55011,3.46419,2.28449,0.93422,0.65689,0.47652,35.86874,3.74906,0.34914,0.29415,14.68929
E10,1447,1,894.16865,474.75683,452462,488456,3756.54156,390.82229,236.91068,619.52185,93.0073,781.64458,473.82137,1239.0437,337.96654,217.18283,1118.85701,1132.52693,651.065,2.615,-0.06128,0.76619,0.40292,0.98793,1.7395,1.62964,3.35748,2.10617,0.92631,0.74596,0.42512,31.18849,4.20206,0.40147,0.23566,12.66103
E10,1448,1,734.711,404.51445,412883,439746,3693.70094,365.15392,222.16328,563.01868,86.50781,730.30785,444.32656,1126.03735,314.40488,204.86149,1055.14975,1051.29243,603.31994,2.53426,0.12999,0.75858,0.38029,1.00367,1.74251,1.53619,3.50064,2.23237,0.93891,0.62845,0.42612,33.04429,4.22105,0.37881,0.21504,13.16122
E10,1449,1,687.81907,405.22462,400945,429099.5,3703.87251,367.98496,190.05546,602.14271,108.66718,735.96991,380.11091,1204.28542,334.65757,187.6756,1133.19239,1145.15709,543.0583,3.16825,-0.00984,0.82795,0.36727,0.98955,2.10872,1.55105,3.26853,2.19396,0.93439,0.72935,0.52578,34.21584,3.38635,0.36579,0.20883,13.57105
E10,1450,1,679.3417,414.76292,482995,518864.5,4247.82792,404.10238,210.35835,654.78488,126.67902,808.20475,420.7167,1309.56975,373.40921,199.7686,1304.9203,1300.29123,586.08467,3.11271,-0.05818,0.84486,0.33637,1.00356,2.21861,1.57782,3.25524,2.25185,0.93087,0.59714,0.54927,37.35865,3.18997,0.33509,0.25156,14.56841
E10,1451,1,755.7293,462.62777,470198,504359,4261.72741,402.83311,205.14947,677.19521,131.54656,805.66621,410.29894,1354.39041,376.26073,194.94146,1313.914,1333.02462,576.98329,3.30098,-0.00045,0.85532,0.32533,0.98566,2.31033,1.63576,3.24354,2.23126,0.93227,0.59291,0.56716,38.62696,3.06229,0.32405,0.24489,14.19718
E10,1452,1,687.98269,446.86776,418409,450390,3864.03903,376.68915,203.55495,620.55326,115.61416,753.37829,407.10989,1241.10652,345.79945,188.89176,1190.81317,1197.18251,559.71315,3.04858,0.02839,0.83762,0.35215,0.99468,2.13892,1.60149,3.24487,2.19936,0.92899,0.71915,0.53247,35.6847,3.25816,0.35074,0.21792,13.202
E10,1453,1,700.37405,447.90063,386875,416506,3731.32835,361.57565,198.05159,597.03379,111.12693,723.15131,396.10319,1194.06757,331.89377,181.4631,1149.76737,1151.22733,537.80392,3.01454,0.02878,0.8373,0.34918,0.99873,2.14061,1.60035,3.24529,2.20915,0.92886,0.71784,0.53284,35.98788,3.25372,0.34772,0.2015,13.29514
E10,1454,1,741.38778,492.19121,392479,420800,3448.0075,356.07875,203.35266,547.76209,84.35334,712.15749,406.70532,1095.52418,303.23644,204.82394,1008.1607,1013.61233,612.30364,2.69366,0.04191,0.7374,0.41485,0.99462,1.65541,1.58133,3.4201,2.12066,0.9327,0.74303,0.39592,30.29144,4.22128,0.41326,0.20442,11.95385
